,date,close,diff,open,high,low,volume
16,2022-02-03,73300,0,74900,74900,73300,17744721
15,2022-02-04,74000,700,74300,74600,73400,12730034
14,2022-02-07,73000,1000,73500,73600,72400,14240838
13,2022-02-08,73500,500,73800,74200,73000,11736666
12,2022-02-09,74700,1200,74300,74700,74000,9699122
11,2022-02-10,75400,700,75600,75800,74700,17746033
10,2022-02-11,74900,500,75000,75500,74600,12205407
9,2022-02-14,73700,1200,74400,74500,73100,13993255
8,2022-02-15,73700,0,74100,74200,73100,9320365
7,2022-02-16,74800,1100,74600,74900,74200,10767386
6,2022-02-17,75000,200,75000,75600,74500,13605382
5,2022-02-18,74300,700,74600,74800,73700,10122226
4,2022-02-21,74200,100,73200,74300,72600,10489717
3,2022-02-22,73400,800,73000,73400,72800,11692469
2,2022-02-23,73000,400,73800,73800,72800,10397964
1,2022-02-24,71500,1500,72300,72300,71300,15759283
0,2022-02-25,72300,800,72100,72600,71900,4997915
